id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label
fe80::caff:cf27:646c:22d,5353,ff02::fb,5353,udp,dns,15.004423,1637.0,0.0,S0,,,0,D,13,2261,0,0,,0
fe80::6444:b5fa:e91b:3bad,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,210,0,0,,0
fe80::61c6:94de:db82:d82c,5353,ff02::fb,5353,udp,dns,17.756833,2027.0,0.0,S0,,,0,D,16,2795,0,0,,0
fe80::1bd1:de1c:ff80:5acd,5353,ff02::fb,5353,udp,dns,15.025629,1848.0,0.0,S0,,,0,D,14,2520,0,0,,0
::,135,ff02::1:ff07:9fd4,136,icmp,,46.110579,48.0,0.0,OTH,,,0,,2,144,0,0,,0
fe80::e603:75b:a507:9fd4,143,ff02::16,0,icmp,,47.167397,200.0,0.0,OTH,,,0,,8,648,0,0,,0
fe80::e603:75b:a507:9fd4,5353,ff02::fb,5353,udp,dns,15.003902,1823.0,0.0,S0,,,0,D,16,2591,0,0,,0
fe80::1dbe:feb1:22e9:dc18,5353,ff02::fb,5353,udp,dns,15.010707,1044.0,0.0,S0,,,0,D,10,1524,0,0,,0
fe80::61a3:3a88:387c:3437,5353,ff02::fb,5353,udp,dns,9.740681,1612.0,0.0,S0,,,0,D,14,2284,0,0,,0
fe80::6444:b5fa:e91b:3bad,5353,ff02::fb,5353,udp,dns,17.437327,1889.0,0.0,S0,,,0,D,14,2561,0,0,,0
fe80::1dbe:feb1:22e9:dc18,5353,ff02::fb,5353,udp,dns,3.74324,999.0,0.0,S0,,,0,D,9,1431,0,0,,0
::,135,ff02::1:ffbe:3b98,136,icmp,,137.442128,96.0,0.0,OTH,,,0,,4,288,0,0,,0
fe80::61c6:94de:db82:d82c,133,ff02::2,134,icmp,,144.998667,0.0,0.0,OTH,,,0,,12,576,0,0,,0
fe80::caff:cf27:646c:22d,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,210,0,0,,0
fe80::b930:71ec:9376:3a38,5353,ff02::fb,5353,udp,dns,26.409875,1959.0,0.0,S0,,,0,D,17,2775,0,0,,0
fe80::6444:b5fa:e91b:3bad,143,ff02::16,0,icmp,,136.863925,400.0,0.0,OTH,,,0,,16,1296,0,0,,0
fe80::51c0:b0d7:fdeb:1439,5353,ff02::fb,5353,udp,dns,30.632016,1719.0,0.0,S0,,,0,D,14,2391,0,0,,0
fe80::61c6:94de:db82:d82c,143,ff02::16,0,icmp,,137.982353,400.0,0.0,OTH,,,0,,16,1296,0,0,,0
fe80::e603:75b:a507:9fd4,5353,ff02::fb,5353,udp,dns,18.096841,1696.0,0.0,S0,,,0,D,14,2368,0,0,,0
fe80::61a3:3a88:387c:3437,5353,ff02::fb,5353,udp,dns,18.771647,1323.0,0.0,S0,,,0,D,10,1803,0,0,,0
fe80::7483:a268:3eb4:ebe2,143,ff02::16,0,icmp,,135.970175,400.0,0.0,OTH,,,0,,16,1296,0,0,,0
fe80::1dbe:feb1:22e9:dc18,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,0
fe80::1dbe:feb1:22e9:dc18,133,ff02::2,134,icmp,,53.003225,0.0,0.0,OTH,,,0,,6,288,0,0,,0
fe80::cefa:d17:c803:a932,143,ff02::16,0,icmp,,0.734966,100.0,0.0,OTH,,,0,,4,324,0,0,,0
fe80::7483:a268:3eb4:ebe2,133,ff02::2,134,icmp,,143.001207,0.0,0.0,OTH,,,0,,12,576,0,0,,0
::,135,ff02::1:ff04:2421,136,icmp,,138.08043,96.0,0.0,OTH,,,0,,4,288,0,0,,0
fe80::d823:ed2f:a1be:3b98,5353,ff02::fb,5353,udp,dns,15.00758,1574.0,0.0,S0,,,0,D,14,2246,0,0,,0
fe80::c806:7e6d:928b:8e0d,5353,ff02::fb,5353,udp,dns,18.277752,2371.0,0.0,S0,,,0,D,19,3283,0,0,,1
fe80::6444:b5fa:e91b:3bad,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,210,0,0,,1
::,135,ff02::1:ffd2:94df,136,icmp,,135.167199,96.0,0.0,OTH,,,0,,4,288,0,0,,1
fe80::4d4e:3cdf:4a22:6ae2,5353,ff02::fb,5353,udp,dns,14.99894,1466.0,0.0,S0,,,0,D,11,1994,0,0,,1
fe80::7483:a268:3eb4:ebe2,143,ff02::16,0,icmp,,3.228389,80.0,0.0,OTH,,,0,,4,304,0,0,,1
fe80::a6a0:4edb:5b04:2421,133,ff02::2,134,icmp,,7.999345,0.0,0.0,OTH,,,0,,3,144,0,0,,1
fe80::1dbe:feb1:22e9:dc18,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,1
fe80::9ddc:fa6a:86f5:d907,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,1
fe80::7483:a268:3eb4:ebe2,5353,ff02::fb,5353,udp,dns,14.999974,1343.0,0.0,S0,,,0,D,11,1871,0,0,,1
fe80::7849:cd51:8cd2:94df,143,ff02::16,0,icmp,,178.113181,440.0,0.0,OTH,,,0,,17,1392,0,0,,1
fe80::7849:cd51:8cd2:94df,5353,ff02::fb,5353,udp,dns,15.013845,1101.0,0.0,S0,,,0,D,11,1629,0,0,,1
fe80::61c6:94de:db82:d82c,143,ff02::16,0,icmp,,2.845854,80.0,0.0,OTH,,,0,,4,304,0,0,,1
fe80::98b:7305:c50a:77d6,5353,ff02::fb,5353,udp,dns,4.099378,876.0,0.0,S0,,,0,D,6,1164,0,0,,0
fe80::9ddc:fa6a:86f5:d907,5353,ff02::fb,5353,udp,dns,14.975641,1179.0,0.0,S0,,,0,D,9,1611,0,0,,0
fe80::b8:3d03:6803:f5f1,5353,ff02::fb,5353,udp,dns,15.042314,1985.0,0.0,S0,,,0,D,18,2849,0,0,,0
fe80::3f23:7255:1837:efa1,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,0
fe80::54d1:db83:174:181f,5353,ff02::fb,5353,udp,dns,4.113185,876.0,0.0,S0,,,0,D,6,1164,0,0,,0
fe80::65be:23ee:91ae:3d64,143,ff02::16,0,icmp,,137.471481,400.0,0.0,OTH,,,0,,16,1296,0,0,,1
fe80::b930:71ec:9376:3a38,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,1
fe80::e11d:2c9f:afe2:f40,5353,ff02::fb,5353,udp,dns,29.722203,1907.0,0.0,S0,,,0,D,16,2675,0,0,,1
fe80::6444:b5fa:e91b:3bad,5353,ff02::fb,5353,udp,dns,15.003235,1804.0,0.0,S0,,,0,D,14,2476,0,0,,1
fe80::4d4e:3cdf:4a22:6ae2,143,ff02::16,0,icmp,,46.524273,200.0,0.0,OTH,,,0,,8,648,0,0,,1
fe80::9be:2564:da31:afe9,5353,ff02::fb,5353,udp,dns,15.002777,1581.0,0.0,S0,,,0,D,11,2109,0,0,,1
fe80::9ddc:fa6a:86f5:d907,143,ff02::16,0,icmp,,23.56793,180.0,0.0,OTH,,,0,,8,628,0,0,,1
fe80::9ddc:fa6a:86f5:d907,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,1
fe80::4d4e:3cdf:4a22:6ae2,5353,ff02::fb,5353,udp,dns,21.55901,1774.0,0.0,S0,,,0,D,16,2542,0,0,,1
fe80::cefa:d17:c803:a932,133,ff02::2,134,icmp,,145.999324,0.0,0.0,OTH,,,0,,12,576,0,0,,1
fe80::a6a0:4edb:5b04:2421,136,ff02::1,135,icmp,,138.2836,96.0,0.0,OTH,,,0,,4,288,0,0,,1
fe80::6444:b5fa:e91b:3bad,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,210,0,0,,1
fe80::1bd1:de1c:ff80:5acd,5353,ff02::fb,5353,udp,dns,15.025081,1848.0,0.0,S0,,,0,D,14,2520,0,0,,1
fe80::a6a0:4edb:5b04:2421,5353,ff02::fb,5353,udp,dns,18.064064,4030.0,0.0,S0,,,0,D,35,5710,0,0,,1
fe80::caff:cf27:646c:22d,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,210,0,0,,1
::,135,ff02::1:ff07:9fd4,136,icmp,,46.112007,48.0,0.0,OTH,,,0,,2,144,0,0,,1
fe80::65be:23ee:91ae:3d64,143,ff02::16,0,icmp,,46.198572,200.0,0.0,OTH,,,0,,8,648,0,0,,1
fe80::9be:2564:da31:afe9,5353,ff02::fb,5353,udp,dns,20.930009,1915.0,0.0,S0,,,0,D,17,2731,0,0,,1
192.168.0.188,5353,224.0.0.251,5353,udp,dns,,,,S0,,,0,D,1,73,0,0,,1
::,135,ff02::1:ff82:d82c,136,icmp,,,,,OTH,,,0,,1,72,0,0,,1
fe80::41bd:b7f5:fbfe:d4aa,143,ff02::16,0,icmp,,2.333023,80.0,0.0,OTH,,,0,,4,304,0,0,,1
fe80::1bd1:de1c:ff80:5acd,133,ff02::2,134,icmp,,143.769959,0.0,0.0,OTH,,,0,,12,576,0,0,,1
fe80::1bd1:de1c:ff80:5acd,5353,ff02::fb,5353,udp,dns,15.025041,1433.0,0.0,S0,,,0,D,12,2009,0,0,,1
::,135,ff02::1:ffeb:1439,136,icmp,,136.926036,96.0,0.0,OTH,,,0,,4,288,0,0,,1
fe80::65be:23ee:91ae:3d64,133,ff02::2,134,icmp,,145.000683,0.0,0.0,OTH,,,0,,12,576,0,0,,1
fe80::d823:ed2f:a1be:3b98,143,ff02::16,0,icmp,,138.172504,400.0,0.0,OTH,,,0,,16,1296,0,0,,1
fe80::b930:71ec:9376:3a38,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,1
fe80::9ddc:fa6a:86f5:d907,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,1
